,Mdisk,alpha,r_c,v_frag,Reff,Fmm
0,0.005,0.01,20,1000,21.4316683982961,0.173904787683485
0,0.005,0.01,20,3000,21.4515664537031,0.174578708696372
0,0.005,0.01,20,6000,21.4558468714962,0.175174090503243
0,0.005,0.01,20,10000,21.4479121760874,0.17537439297058
0,0.005,0.01,80,1000,45.0316016743317,0.118269450058859
0,0.005,0.01,80,3000,45.44670132502,0.119243066710333
0,0.005,0.01,80,6000,45.6568104724664,0.119904330204206
0,0.005,0.01,80,10000,45.8293471271455,0.120412122707293
0,0.005,0.01,140,1000,62.3540529013237,0.097059723034016
0,0.005,0.01,140,3000,62.8607094075208,0.098047675362257
0,0.005,0.01,140,6000,63.1659878102582,0.098636999301941
0,0.005,0.01,140,10000,63.3653644456699,0.09902134000797
0,0.005,0.01,200,1000,73.9865204793066,0.08771615428985
0,0.005,0.01,200,3000,74.5398275732398,0.088685409853456
0,0.005,0.01,200,6000,74.8368017244757,0.089291240399015
0,0.005,0.01,200,10000,75.0819726211988,0.089627924692342
0,0.025,0.01,20,1000,29.0282382413993,0.475005835440884
0,0.025,0.01,20,3000,29.0289851346372,0.476710160314926
0,0.025,0.01,20,6000,29.086280016064,0.477390426929453
0,0.025,0.01,20,10000,29.1365730051743,0.478645085917992
0,0.025,0.01,80,1000,54.3473140666905,0.484179033505969
0,0.025,0.01,80,3000,54.7539333669597,0.487914140871004
0,0.025,0.01,80,6000,54.9938998504301,0.490749914949641
0,0.025,0.01,80,10000,55.1449928812662,0.492240170809185
0,0.025,0.01,140,1000,70.9015339693163,0.429800596894717
0,0.025,0.01,140,3000,71.3850325389302,0.43376608890188
0,0.025,0.01,140,6000,71.6716970003197,0.436821093635259
0,0.025,0.01,140,10000,71.8557369317581,0.438352591759317
0,0.025,0.01,200,1000,81.845925344707,0.400198695170374
0,0.025,0.01,200,3000,82.3702713912551,0.404713956642574
0,0.025,0.01,200,6000,82.6769616826237,0.407216601595086
0,0.025,0.01,200,10000,82.9318515963507,0.408424335238843
0,0.05,0.01,20,1000,33.8515839954782,0.666497730296482
0,0.05,0.01,20,3000,34.0413881894742,0.668421291771497
0,0.05,0.01,20,6000,34.1710745676353,0.669839235849986
0,0.05,0.01,20,10000,34.2386718868861,0.670260282606941
0,0.05,0.01,80,1000,62.2264029470131,0.817415312172883
0,0.05,0.01,80,3000,62.6133384625745,0.824737087236371
0,0.05,0.01,80,6000,62.8292368709993,0.828609613148842
0,0.05,0.01,80,10000,63.0021725408293,0.831950419735106
0,0.05,0.01,140,1000,78.74095062846,0.765836465284082
0,0.05,0.01,140,3000,79.1857390858151,0.773301303981974
0,0.05,0.01,140,6000,79.4499879091432,0.777483346340609
0,0.05,0.01,140,10000,79.7061195106721,0.780632363702355
0,0.05,0.01,200,1000,89.3312454794121,0.729317350311428
0,0.05,0.01,200,3000,89.8503960038529,0.73647327500801
0,0.05,0.01,200,6000,90.1607532033097,0.741610434910254
0,0.05,0.01,200,10000,90.3516247630784,0.744509092901123
0,0.1,0.01,20,1000,39.6847766657813,0.896838256279306
0,0.1,0.01,20,3000,39.8692479823197,0.9003987627976
0,0.1,0.01,20,6000,39.9532029038222,0.902734470668096
0,0.1,0.01,20,10000,40.0272267512214,0.90472896031313
0,0.1,0.01,80,1000,72.7142025372776,1.31160320016265
0,0.1,0.01,80,3000,73.1036837470873,1.32296356807057
0,0.1,0.01,80,6000,73.3230291906852,1.32930955143809
0,0.1,0.01,80,10000,73.4808566117931,1.33436488293699
0,0.1,0.01,140,1000,89.7565239914259,1.29921632127596
0,0.1,0.01,140,3000,90.21193273302,1.31240688767024
0,0.1,0.01,140,6000,90.4714830752131,1.31951797099613
0,0.1,0.01,140,10000,90.6664986994016,1.32555186390239
0,0.1,0.01,200,1000,100.161121703019,1.26897100162455
0,0.1,0.01,200,3000,100.688927061539,1.28201758432578
0,0.1,0.01,200,6000,100.963754523383,1.28937286117087
0,0.1,0.01,200,10000,101.174038975513,1.29573013626963
0,0.005,0.005,20,1000,21.3938597413469,0.173831034986836
0,0.005,0.005,20,3000,21.3982590461323,0.174474223495706
0,0.005,0.005,20,6000,21.3891496507294,0.174782850664934
0,0.005,0.005,20,10000,21.3867994432428,0.175203144188438
0,0.005,0.005,80,1000,44.9870062344594,0.118374856360745
0,0.005,0.005,80,3000,45.4155179641622,0.119385922668207
0,0.005,0.005,80,6000,45.625877093564,0.1200213440575
0,0.005,0.005,80,10000,45.7798183601695,0.120416821523353
0,0.005,0.005,140,1000,62.2909953237582,0.09714837519961
0,0.005,0.005,140,3000,62.7508677533949,0.098143938862111
0,0.005,0.005,140,6000,63.0601606778018,0.098665925805784
0,0.005,0.005,140,10000,63.2545523144949,0.099196165349987
0,0.005,0.005,200,1000,73.8174666266134,0.087887451407813
0,0.005,0.005,200,3000,74.3795281908242,0.088787768452657
0,0.005,0.005,200,6000,74.661553860569,0.089366359411582
0,0.005,0.005,200,10000,74.8909721509921,0.08977557738874
0,0.025,0.005,20,1000,28.9190821959938,0.474365226078855
0,0.025,0.005,20,3000,28.9268875213389,0.47582651043024
0,0.025,0.005,20,6000,29.0205421983708,0.476691001156236
0,0.025,0.005,20,10000,29.0882286374116,0.476626292424819
0,0.025,0.005,80,1000,54.2519034984967,0.484253424126079
0,0.025,0.005,80,3000,54.6787439482465,0.48810522311857
0,0.025,0.005,80,6000,54.9026037272534,0.490268519418419
0,0.025,0.005,80,10000,55.0716777468465,0.492415553460558
0,0.025,0.005,140,1000,70.7225061253932,0.430144574296714
